BW1,BW2,DL1,DL2,PL1,PL2,MPSNR
0.38 ,0.83 ,396,210,1.8 ,2.3 ,64.6306 
0.56 ,0.42 ,35,394,0.0 ,3.1 ,75.7050 
0.68 ,0.30 ,40,200,2.2 ,0.7 ,77.3452 
0.98 ,0.58 ,537,337,0.1 ,1.8 ,77.8810 
0.88 ,0.78 ,237,422,3.6 ,4.4 ,55.0820 
0.65 ,0.28 ,370,202,3.8 ,3.4 ,65.7721 
0.52 ,0.48 ,128,148,0.7 ,2.5 ,70.2584 
0.60 ,0.24 ,317,162,4.3 ,4.2 ,40.4337 
0.24 ,0.47 ,44,494,0.1 ,4.8 ,46.8081 
0.77 ,0.61 ,87,543,4.6 ,1.4 ,68.5972 
0.63 ,0.20 ,543,55,0.0 ,1.3 ,46.3731 
0.84 ,0.92 ,71,426,0.5 ,2.0 ,85.3468 
0.79 ,0.30 ,194,257,0.1 ,0.8 ,84.5948 
0.47 ,0.94 ,326,211,2.9 ,4.3 ,58.8788 
0.58 ,0.61 ,517,595,2.4 ,0.0 ,76.6902 
0.45 ,0.37 ,91,284,4.6 ,1.1 ,60.2360 
0.53 ,0.36 ,29,442,0.4 ,4.9 ,73.3340 
0.50 ,0.83 ,286,204,4.8 ,4.6 ,57.8614 
0.93 ,0.29 ,282,314,0.5 ,4.2 ,51.5796 
0.99 ,0.33 ,288,111,3.7 ,0.9 ,70.6513 
0.87 ,0.60 ,561,336,3.8 ,3.2 ,54.8333 
0.87 ,0.38 ,551,536,3.7 ,2.1 ,60.7961 
0.32 ,0.88 ,418,70,1.7 ,0.4 ,86.8090 
0.55 ,0.34 ,127,257,1.7 ,1.1 ,69.6267 
0.63 ,0.53 ,102,405,0.7 ,1.7 ,76.6249 
0.52 ,0.78 ,274,475,3.2 ,2.5 ,58.9262 
0.92 ,0.74 ,440,249,4.4 ,3.8 ,42.8402 
0.88 ,0.91 ,250,358,4.5 ,1.6 ,59.3449 
0.47 ,1.00 ,576,313,1.6 ,4.3 ,56.8783 
0.67 ,0.96 ,165,216,1.6 ,4.5 ,71.9006 
0.79 ,0.28 ,432,260,0.3 ,0.3 ,73.1054 
0.67 ,0.84 ,536,304,0.6 ,0.5 ,83.6942 
0.50 ,0.58 ,400,532,0.0 ,1.8 ,76.0719 
0.78 ,0.51 ,196,531,4.0 ,4.5 ,66.6570 
0.29 ,0.54 ,18,474,1.1 ,2.1 ,73.3404 
0.55 ,0.38 ,272,471,3.5 ,4.3 ,52.8705 
0.79 ,0.27 ,180,269,2.3 ,4.1 ,44.2368 
0.22 ,0.77 ,72,514,3.7 ,0.2 ,40.0209 
0.41 ,0.30 ,540,36,1.5 ,1.1 ,70.8323 
